Review,Polarity,Subjectivity,Sentiment
I love the collaborative culture and my manager is extremely supportive. Great place to grow professionally.,0.47500000000000003,0.6125,Positive
"Excellent salary, good benefits, and clear career growth path. Very satisfied with the company.",0.6125,0.7458333333333333,Positive
Amazing team members and flexible working policy. Highly recommend working here.,0.38000000000000006,0.72,Positive
I feel valued here. Leadership listens to feedback and actually acts on it.,0.0,0.1,Neutral
Positive atmosphere and supportive colleagues make coming to work enjoyable every day.,0.4090909090909091,0.7151515151515152,Positive
Best company culture I've experienced so far. Strong focus on employee wellbeing.,0.5833333333333334,0.7333333333333334,Positive
Great learning opportunities and regular training programs help me upskill continuously.,0.4,0.41346153846153844,Positive
Work-life balance is excellent and the company truly cares about its employees.,1.0,1.0,Positive
Wonderful mentorship and clear career progression framework in place.,0.55,0.6916666666666667,Positive
Inclusive culture where diversity is genuinely respected and celebrated.,0.375,0.625,Positive
The leadership team is transparent and communicates openly with everyone.,0.0,0.5,Neutral
"Good work-life balance, competitive pay, and meaningful projects.",0.6,0.55,Positive
Supportive environment that encourages innovation and new ideas.,0.3181818181818182,0.7272727272727273,Positive
I have grown so much in the last two years thanks to the learning culture.,0.13333333333333333,0.15555555555555556,Positive
Friendly colleagues and a positive work atmosphere keep me motivated.,0.30113636363636365,0.5227272727272727,Positive
Toxic environment with constant pressure and no work-life balance. Thinking of leaving soon.,0.0,0.3333333333333333,Neutral
Management is poor at communication and recognition for hard work is almost zero.,-0.3458333333333333,0.5708333333333333,Negative
Unrealistic deadlines and excessive overtime every week. Burnout is real here.,-0.18333333333333335,0.7666666666666666,Negative
Low compensation compared to market and almost no learning opportunities.,0.0,0.3,Neutral
Too much politics and favoritism. Hard work is rarely rewarded.,0.06944444444444443,0.5472222222222222,Neutral
Poor leadership decisions and complete lack of transparency from top management.,0.06666666666666665,0.5,Neutral
High stress levels and no support from manager during tough projects.,-0.11444444444444445,0.6866666666666668,Negative
Salary is below industry standards and annual hikes are very disappointing.,-0.78,0.9099999999999999,Negative
Micromanagement is a big issue. There is no trust in employees.,0.0,0.1,Neutral
Constant last-minute changes and chaotic project management style.,0.0,0.3333333333333333,Neutral
No clear career path and promotions seem to be based on favoritism.,-0.049999999999999996,0.3833333333333333,Neutral
Work pressure is extreme and weekends are often compromised.,-0.125,1.0,Negative
The company does not value employee feedback at all.,0.0,0.0,Neutral
Poor work-life balance and expectation to be available 24/7.,0.0,0.5,Neutral
Lack of proper training and onboarding for new joiners.,0.06818181818181818,0.2772727272727273,Neutral
The job is okay. Salary is decent but growth opportunities are limited.,0.1984126984126984,0.43650793650793646,Positive
Some teams are great while others have serious management issues.,0.23333333333333336,0.7083333333333333,Positive
"Work is challenging which is good, but the pressure can be too high sometimes.",0.4533333333333333,0.7133333333333334,Positive
Benefits are good but the daily work culture needs improvement.,0.35,0.30000000000000004,Positive
I like my team but overall company processes are slow and bureaucratic.,-0.15000000000000002,0.19999999999999998,Negative
Average experience so far. Nothing exceptional but nothing terrible either.,-0.09583333333333333,0.85,Neutral
Compensation is fair but recognition and appreciation are missing.,0.24999999999999997,0.47500000000000003,Positive
The projects are interesting but management communication can be better.,0.5,0.5,Positive
Good learning in the beginning but it becomes repetitive after some time.,0.22499999999999998,0.42500000000000004,Positive
"Depends on the manager you get. Some are excellent, others are difficult.",0.25,1.0,Positive
Stable job with decent pay but innovation is not encouraged much.,0.18333333333333335,0.43333333333333335,Positive
The company has potential but currently facing several internal challenges.,0.0,0.35,Neutral
Work environment is neutral. Neither highly motivating nor demotivating.,0.16,0.54,Positive
Okay place to work if you are looking for stability rather than rapid growth.,0.5,0.5,Positive
Mixed feelings. Some policies are employee-friendly while others are not.,0.0,0.25,Neutral
